date,open,high,low,close,volume,symbol,name
2025-12-02,13130.072,13132.807,13011.107,13056.701,64385112607,sz399001,深证成指
2025-12-03,13071.157,13126.671,12922.675,12955.253,69170604669,sz399001,深证成指
2025-12-04,12957.804,13042.955,12881.56,13006.717,63419808420,sz399001,深证成指
2025-12-05,13020.287,13164.484,12938.349,13147.677,66930306488,sz399001,深证成指
2025-12-08,13178.956,13389.673,13178.956,13329.99,72908982535,sz399001,深证成指
2025-12-09,13295.622,13398.249,13227.774,13277.362,68804590208,sz399001,深证成指
2025-12-10,13251.266,13344.851,13126.208,13316.424,67629097123,sz399001,深证成指
2025-12-11,13333.292,13388.265,13147.387,13147.387,70536990697,sz399001,深证成指
2025-12-12,13174.447,13284.271,13085.424,13258.328,70099821530,sz399001,深证成指
2025-12-15,13150.433,13244.034,13111.378,13112.089,62728573127,sz399001,深证成指
2025-12-16,13084.877,13113.987,12851.222,12914.668,66452184425,sz399001,深证成指
2025-12-17,12927.394,13254.81,12927.394,13224.514,65350169676,sz399001,深证成指
2025-12-18,13112.611,13205.223,13053.975,13053.975,59011620686,sz399001,深证成指
2025-12-19,13116.187,13217.436,13070.726,13140.215,65712741229,sz399001,深证成指
2025-12-22,13225.401,13349.081,13225.401,13332.731,65354913502,sz399001,深证成指
2025-12-23,13338.935,13447.287,13305.765,13368.989,67489465792,sz399001,深证成指
2025-12-24,13378.482,13497.099,13347.763,13486.419,64044044005,sz399001,深证成指
2025-12-25,13472.704,13563.057,13407.373,13531.411,66079406292,sz399001,深证成指
2025-12-26,13539.049,13674.873,13517.805,13603.894,74129290965,sz399001,深证成指
2025-12-29,13604.295,13650.701,13494.957,13537.097,71387141313,sz399001,深证成指
2025-12-30,13466.305,13645.556,13465.674,13604.067,71622336614,sz399001,深证成指
2025-12-31,13627.264,13642.527,13491.675,13525.022,71339644106,sz399001,深证成指
2026-01-05,13633.634,13828.967,13633.634,13828.63,83035712330,sz399001,深证成指
2026-01-06,13830.303,14024.119,13827.793,14022.552,93183264755,sz399001,深证成指
2026-01-07,14062.021,14111.175,13935.528,14030.559,91357518913,sz399001,深证成指
2026-01-08,13971.892,14033.594,13883.808,13959.482,92028837770,sz399001,深证成指
2026-01-09,13917.782,14139.536,13917.782,14120.151,101352753560,sz399001,深证成指
2026-01-12,14186.863,14391.28,14089.593,14366.908,115264352804,sz399001,深证成指
2026-01-13,14397.685,14458.885,14113.174,14169.397,119510202373,sz399001,深证成指
2026-01-14,14194.112,14459.214,14099.981,14248.599,131211872906,sz399001,深证成指
2026-01-15,14158.662,14328.596,14155.498,14306.726,97152761162,sz399001,深证成指
2026-01-16,14374.535,14424.351,14257.59,14281.08,90689452564,sz399001,深证成指
2026-01-19,14221.926,14392.875,14221.926,14294.053,83220501869,sz399001,深证成指
2026-01-20,14307.552,14337.125,14033.224,14155.628,88192190857,sz399001,深证成指
2026-01-21,14102.212,14320.936,14102.212,14255.125,79338785281,sz399001,深证成指
2026-01-22,14313.635,14374.511,14223.344,14327.045,82251430016,sz399001,深证成指
2026-01-23,14349.012,14449.84,14320.515,14439.658,98269910191,sz399001,深证成指
2026-01-26,14492.425,14532.896,14277.67,14316.637,102322809048,sz399001,深证成指
2026-01-27,14283.777,14403.596,14105.126,14329.906,90968627621,sz399001,深证成指
2026-01-28,14371.955,14411.651,14234.886,14342.895,88302545987,sz399001,深证成指
2026-01-29,14332.703,14418.089,14252.197,14300.076,99391556398,sz399001,深证成指
2026-01-30,14214.141,14291.574,13923.955,14205.893,90232292535,sz399001,深证成指
2026-02-02,14128.868,14213.612,13815.282,13824.352,81114236364,sz399001,深证成指
2026-02-03,13986.895,14129.597,13815.229,14127.105,78291093443,sz399001,深证成指
2026-02-04,14072.41,14173.766,13958.08,14156.273,81523878047,sz399001,深证成指
2026-02-05,14020.84,14074.356,13874.018,13952.712,72622538063,sz399001,深证成指
2026-02-06,13801.031,14065.776,13726.859,13906.734,73034954834,sz399001,深证成指
2026-02-09,14115.141,14211.704,14060.667,14208.436,72636960194,sz399001,深证成指
2026-02-10,14200.756,14258.515,14165.429,14210.626,73300288412,sz399001,深证成指
2026-02-11,14186.653,14250.337,14156.164,14160.934,68193320105,sz399001,深证成指
2026-02-12,14177.967,14296.48,14177.287,14282.998,69625970218,sz399001,深证成指
2026-02-13,14188.347,14258.826,14092.84,14100.189,64063961614,sz399001,深证成指
2026-02-24,14313.862,14376.957,14214.415,14291.565,71242598997,sz399001,深证成指
2026-02-25,14322.242,14512.845,14314.152,14475.865,79368851138,sz399001,深证成指
2026-02-26,14495.858,14536.076,14408.875,14503.786,79313407541,sz399001,深证成指
2026-02-27,14375.25,14497.957,14366.35,14495.093,78110959637,sz399001,深证成指
2026-03-02,14327.65,14509.689,14285.667,14465.788,93379464716,sz399001,深证成指
2026-03-03,14498.698,14526.057,14007.648,14022.392,97065894465,sz399001,深证成指
2026-03-04,13854.374,14112.021,13854.374,13917.752,74046401893,sz399001,深证成指
2026-03-05,14160.198,14202.762,13999.702,14088.839,75896647743,sz399001,深证成指
2026-03-06,14015.543,14212.844,13969.341,14172.627,72927891335,sz399001,深证成指
2026-03-09,13920.286,14103.631,13701.67,14067.503,83734565606,sz399001,深证成指
2026-03-10,14239.301,14357.818,14239.301,14354.073,73622290201,sz399001,深证成指
2026-03-11,14373.739,14531.023,14373.011,14465.41,77097377661,sz399001,深证成指
2026-03-12,14457.632,14478.046,14245.77,14374.871,76880514232,sz399001,深证成指
2026-03-13,14300.925,14454.307,14245.959,14280.78,77422569126,sz399001,深证成指
2026-03-16,14291.149,14320.096,14097.815,14307.577,75301618572,sz399001,深证成指
2026-03-17,14370.446,14400.355,14039.502,14039.73,75319703764,sz399001,深证成指
2026-03-18,14108.922,14203.915,13944.371,14187.796,66605559837,sz399001,深证成指
2026-03-19,14003.698,14098.691,13852.596,13901.567,67934101768,sz399001,深证成指
2026-03-20,14021.456,14144.989,13856.487,13866.202,73293460405,sz399001,深证成指
2026-03-23,13619.944,13758.975,13274.177,13345.514,85158454965,sz399001,深证成指
2026-03-24,13514.67,13536.556,13169.251,13536.556,73071623317,sz399001,深证成指
2026-03-25,13669.053,13835.031,13666.842,13801.001,72288882956,sz399001,深证成指
2026-03-26,13756.87,13853.097,13573.12,13606.443,66666803450,sz399001,深证成指
2026-03-27,13423.513,13842.397,13419.311,13760.369,63025383844,sz399001,深证成指
2026-03-30,13618.794,13748.207,13536.562,13726.19,65306873290,sz399001,深证成指
2026-03-31,13683.681,13783.968,13478.056,13478.056,66239708690,sz399001,深证成指
2026-04-01,13731.387,13740.975,13603.785,13706.52,65413025986,sz399001,深证成指
2026-04-02,13658.255,13680.631,13418.498,13486.937,63489373985,sz399001,深证成指
2026-04-03,13553.653,13558.909,13345.61,13352.904,58538462285,sz399001,深证成指
2026-04-07,13392.942,13476.079,13305.507,13400.412,53943656647,sz399001,深证成指
2026-04-08,13717.221,14042.496,13694.91,14042.496,74738321191,sz399001,深证成指
2026-04-09,13928.428,14058.053,13891.479,13996.266,65183680950,sz399001,深证成指
2026-04-10,14098.016,14382.61,14095.882,14309.472,66751097781,sz399001,深证成指
2026-04-13,14233.111,14440.265,14233.111,14407.864,62315845017,sz399001,深证成指
2026-04-14,14514.688,14640.769,14463.93,14639.952,68274226324,sz399001,深证成指
2026-04-15,14736.009,14738.533,14440.209,14498.455,69692870680,sz399001,深证成指
2026-04-16,14546.353,14807.162,14522.86,14796.335,68598741254,sz399001,深证成指
2026-04-17,14806.28,14916.393,14787.87,14885.416,69551813982,sz399001,深证成指
2026-04-20,14870.899,15006.917,14845.97,14966.747,72282180746,sz399001,深证成指
2026-04-21,14920.384,15017.751,14774.076,14982.14,70037042537,sz399001,深证成指
2026-04-22,14897.963,15182.821,14897.963,15177.286,69895559303,sz399001,深证成指
2026-04-23,15234.217,15248.431,14934.676,15043.449,76102281752,sz399001,深证成指
2026-04-24,14951.741,15033.671,14795.221,14940.301,70972943878,sz399001,深证成指
2026-04-27,14960.024,15054.46,14919.216,14995.748,70993000124,sz399001,深证成指
2026-04-28,14925.217,14943.355,14772.465,14830.455,72372754716,sz399001,深证成指
2026-04-29,14751.418,15139.711,14751.418,15120.923,73638039843,sz399001,深证成指
2026-04-30,15157.067,15186.12,15044.855,15107.553,73770374281,sz399001,深证成指
2026-05-06,15323.192,15534.666,15254.987,15459.616,82624867664,sz399001,深证成指
2026-05-07,15541.296,15652.582,15439.484,15641.886,84448988422,sz399001,深证成指
2026-05-08,15520.381,15639.388,15466.838,15563.797,82621847976,sz399001,深证成指
2026-05-11,15697.44,15921.652,15622.332,15899.302,91163485896,sz399001,深证成指
2026-05-12,15952.791,15952.791,15711.271,15824.921,84781714944,sz399001,深证成指
2026-05-13,15713.542,16100.456,15713.542,16089.749,82734142943,sz399001,深证成指
2026-05-14,16202.215,16207.752,15745.736,15745.736,87352549161,sz399001,深证成指
2026-05-15,15753.192,15855.554,15447.4,15561.372,84969563145,sz399001,深证成指
2026-05-18,15465.302,15658.111,15419.038,15530.229,73830560388,sz399001,深证成指
2026-05-19,15469.359,15585.036,15221.35,15569.907,73121652942,sz399001,深证成指
2026-05-20,15487.427,15622.214,15426.378,15569.979,72621795842,sz399001,深证成指
2026-05-21,15707.955,15894.304,15232.597,15247.271,87898417393,sz399001,深证成指
2026-05-22,15382.293,15624.971,15295.566,15597.297,76306727815,sz399001,深证成指
2026-05-25,15716.389,15857.081,15547.159,15856.61,78122587305,sz399001,深证成指
2026-05-26,15786.817,15894.546,15662.16,15876.163,82327353235,sz399001,深证成指
2026-05-27,15868.902,16047.406,15656.651,15736.469,81587116281,sz399001,深证成指
2026-05-28,15691.162,15889.832,15504.787,15861.891,74784943212,sz399001,深证成指
2026-05-29,15957.115,15981.93,15492.844,15575.134,84887972757,sz399001,深证成指
2026-06-01,15601.03,15717.455,15316.022,15340.356,76039303257,sz399001,深证成指
2026-06-02,15410.705,15664.388,15203.797,15591.128,73735030673,sz399001,深证成指
2026-06-03,15646.685,15962.365,15542.656,15704.711,79273787656,sz399001,深证成指
2026-06-04,15540.063,15745.188,15517.935,15661.574,71893942096,sz399001,深证成指
2026-06-05,15595.695,15710.144,15243.506,15314.7,81825118558,sz399001,深证成指
2026-06-08,14835.369,15137.752,14681.642,14821.187,78864086260,sz399001,深证成指
2026-06-09,14992.547,15274.717,14846.554,15268.715,71805067868,sz399001,深证成指
2026-06-10,15062.508,15149.369,14817.111,14954.101,71046232927,sz399001,深证成指
2026-06-11,14889.567,15062.748,14706.086,14851.976,66981768618,sz399001,深证成指
2026-06-12,15149.52,15171.224,14943.433,14963.407,79233642260,sz399001,深证成指
2026-06-15,15153.183,15531.109,15055.949,15531.109,75705468300,sz399001,深证成指
2026-06-16,15584.37,15761.004,15537.503,15675.246,75482880215,sz399001,深证成指
2026-06-17,15569.923,15885.491,15569.923,15880.951,74591623185,sz399001,深证成指
2026-06-18,15826.794,16104.768,15825.316,16030.702,76410609337,sz399001,深证成指
2026-06-22,16095.629,16374.02,15914.052,16372.499,87637950567,sz399001,深证成指
2026-06-23,16324.242,16355.952,15756.411,15854.196,80745518085,sz399001,深证成指
2026-06-24,15782.399,16068.406,15730.163,16051.319,79012956389,sz399001,深证成指
2026-06-25,16099.763,16359.62,16058.851,16344.083,83052521217,sz399001,深证成指
2026-06-26,16211.406,16215.448,15728.839,15782.223,83651061528,sz399001,深证成指
2026-06-29,15781.786,15938.231,15487.925,15812.871,80803518909,sz399001,深证成指
2026-06-30,15811.668,16232.232,15809.651,16205.557,74457907119,sz399001,深证成指
2026-07-01,16226.975,16332.48,15988.417,16119.168,87314089113,sz399001,深证成指
2026-07-02,15729.923,15886.698,15453.521,15498.811,85662638667,sz399001,深证成指
2026-07-03,15480.117,15823.054,15432.893,15597.512,78548548047,sz399001,深证成指
2026-07-06,15677.933,15749.356,15288.493,15416.804,76763155669,sz399001,深证成指
2026-07-07,15345.393,15461.366,15081.923,15225.113,67811163112,sz399001,深证成指
2026-07-08,15269.821,15292.122,14907.624,14939.727,65443382528,sz399001,深证成指
2026-07-09,15038.47,15419.116,14781.243,15398.729,71619379945,sz399001,深证成指
2026-07-10,15480.406,15581.943,15046.67,15046.67,82860516995,sz399001,深证成指
2026-07-13,14908.984,14997.072,14437.071,14522.854,73355692544,sz399001,深证成指
2026-07-14,14532.364,14924.868,14338.357,14924.868,67475259646,sz399001,深证成指
2026-07-15,14970.771,15041.33,14741.801,14779.396,68891973235,sz399001,深证成指
2026-07-16,14497.429,14780.46,14386.414,14488.654,66586933111,sz399001,深证成指
2026-07-17,14348.215,14350.468,13586.489,13706.884,76377039459,sz399001,深证成指
2026-07-20,13869.056,13972.992,13342.933,13610.231,77287836819,sz399001,深证成指
2026-07-21,13656.085,14264.797,13364.407,14264.291,83591133533,sz399001,深证成指
2026-07-22,14169.971,14360.366,13988.506,14061.436,68136633435,sz399001,深证成指
2026-07-23,14116.021,14203.635,13991.83,14123.307,62557872433,sz399001,深证成指
2026-07-24,13915.037,14061.027,13774.676,13774.676,56871089342,sz399001,深证成指
2026-07-27,13768.603,14148.73,13689.015,14148.73,57136092946,sz399001,深证成指
2026-07-28,13830.35,13940.992,13470.114,13509.679,57357992952,sz399001,深证成指
2026-07-29,13498.753,13756.71,13267.641,13658.443,67505673105,sz399001,深证成指
2026-07-30,13531.069,13619.032,13068.558,13285.801,68698474992,sz399001,深证成指
2026-07-31,13689.995,13841.957,13578.93,13578.93,71939594436,sz399001,深证成指
2026-08-03,13497.104,13570.512,13407.989,13448.289,61882869562,sz399001,深证成指
2026-08-04,13572.951,13936.518,13537.764,13885.711,66483657699,sz399001,深证成指
2026-08-05,13644.835,14246.383,13644.835,14144.204,73240919663,sz399001,深证成指
2026-08-06,13981.443,14252.14,13922.405,14110.121,71617197901,sz399001,深证成指
2026-08-07,14152.782,14396.075,14049.342,14311.008,71970376017,sz399001,深证成指
2026-08-10,14348.95,14373.772,14102.656,14316.961,68753382679,sz399001,深证成指
2026-08-11,14266.442,14447.098,14201.293,14259.44,64301199248,sz399001,深证成指
2026-08-12,14253.119,14467.003,14237.195,14414.427,62539586478,sz399001,深证成指
2026-08-13,14536.479,14584.3,14289.011,14289.442,73811017618,sz399001,深证成指
2026-08-14,14335.409,14384.178,14203.995,14354.306,64255731904,sz399001,深证成指
2026-08-17,14399.198,14704.551,14348.468,14704.274,64186487329,sz399001,深证成指
2026-08-18,14692.029,14733.904,14459.719,14622.495,67461602318,sz399001,深证成指
2026-08-19,14316.979,14367.372,13842.319,13890.152,69687324292,sz399001,深证成指
2026-08-20,14032.967,14101.141,13870.177,13972.78,59657023622,sz399001,深证成指
2026-08-21,13935.638,14132.041,13866.394,14094.168,54395391449,sz399001,深证成指
2026-08-24,14118.021,14118.146,13616.752,13794.289,56353245658,sz399001,深证成指
2026-08-25,13683.905,13848.404,13568.507,13745.869,57977958247,sz399001,深证成指
2026-08-26,13761.357,13948.687,13714.054,13841.327,57760736028,sz399001,深证成指
2026-08-27,13876.795,14049.988,13808.615,14048.876,61404728845,sz399001,深证成指
2026-08-28,14019.277,14148.684,13949.618,13953.065,63034607975,sz399001,深证成指
